,MOUSSE,,,,,,BILLE/PELET,,,,,,FILM,,,,,,,,,,,,,,,
Echantillon,Rouge,Bleu,Jaune/orange,Blanc/transparent,Noir/gris,Autre,Rouge,Bleu,Jaune/orange,Blanc/transparent,Noir/gris,Autre,Rouge,Bleu,Jaune/orange,Blanc/transparent,Noir/gris,Autre,,,,,,Plage,Echantillon,Fibres,Particules dures,Particules souples
74_Exc_8,,,,,,,,,,,,,,,,,,,,,,,,Excenevex,74_Exc_8,126,0,2
74_Exc_9,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Excenevex,74_Exc_9,157,36,21
74_Lug_1,,,,,,,,,,,,,,,,,,,,,,,,Lugrin,74_Lug_1,110,12,4
74_Lug_2,,,,,,,,,,,,,,,,,,,,,,,,Lugrin,74_Lug_2,126,3,6
74_Lug_3,,,,,,,,,,,,,,,,,,,,,,,,Lugrin,74_Lug_3,66,1,5
74_Lug_4,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Lugrin,74_Lug_4,54,3,18
74_Lug_5,0,0,0,39,2,0,0,0,0,1,0,0,0,0,0,4,0,0,,,,,,Lugrin,74_Lug_5,567,30,68
74_Mei_1,,,,,,,,,,,,,,,,,,,,,,,,Meillerie,74_Mei_1,26,26,5
74_StD_1,,,,,,,,,,,,,,,,,,,,,,,,Saint-Disdille,74_StD_1,79,15,2
74_StD_2,,,,,,,,,,,,,,,,,,,,,,,,Saint-Disdille,74_StD_2,221,14,11
74_StD_3,,,,,,,,,,,,,,,,,,,,,,,,Saint-Disdille,74_StD_3,261,43,30
74_StD_4,,,,,,,,,,,,,,,,,,,,,,,,Saint-Disdille,74_StD_4,115,8,8
74_StD_5,,,,,,,,,,,,,,,,,,,,,,,,Saint-Disdille,74_StD_5,116,1,0
74_StD_6,,,,,,,,,,,,,,,,,,,,,,,,Saint-Disdille,74_StD_6,113,40,2
74_Tou_1,,,,,,,,,,,,,,,,,,,,,,,,Tougues,74_Tou_1,63,3,8
74_Tou_10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,Tougues,74_Tou_10,187,6,23
74_Tou_11,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,Tougues,74_Tou_11,118,12,10
74_Tou_2,,,,,,,,,,,,,,,,,,,,,,,,Tougues,74_Tou_2,161,3,2
74_Tou_3,,,,,,,,,,,,,,,,,,,,,,,,Tougues,74_Tou_3,21,6,6
74_Tou_4,,,,,,,,,,,,,,,,,,,,,,,,Tougues,74_Tou_4,20,2,3
74_Tou_5,,,,,,,,,,,,,,,,,,,,,,,,Tougues,74_Tou_5,43,8,0
74_Tou_6,,,,,,,,,,,,,,,,,,,,,,,,Tougues,74_Tou_6,50,6,1
