Plage,echantillon,position,substrat,added,fibres,fdure,souple,fragments,frequentation,situation,distance,orientation,lat,lon
Meillerie,74_Mei_1,1,2,57.0,26.0,26.0,5.0,31.0,1.0,2.0,3.0,N,46.40773333,6.716533333
Saint-Disdille,74_StD_1,1,4,96.0,79.0,15.0,2.0,17.0,2.0,1.0,1.0,N,46.40105,6.502066667
Saint-Disdille,74_StD_2,1,4,246.0,221.0,14.0,11.0,25.0,2.0,1.0,1.0,N,46.40105,6.502066667
Saint-Disdille,74_StD_3,1,4,334.0,261.0,43.0,30.0,73.0,2.0,1.0,1.0,NNO,46.40105,6.502066667
Saint-Disdille,74_StD_4,1,4,131.0,115.0,8.0,8.0,16.0,2.0,1.0,1.0,NNO,46.40105,6.502066667
Saint-Disdille,74_StD_5,1,4,117.0,116.0,1.0,0.0,1.0,2.0,1.0,1.0,NNO,46.40105,6.502066667
Saint-Disdille,74_StD_6,1,4,155.0,113.0,40.0,2.0,42.0,2.0,1.0,1.0,NO,46.40105,6.502066667
Tougues,74_Tou_1,1,2,74.0,63.0,3.0,8.0,11.0,3.0,1.0,2.0,NO,46.32471667,6.256883333
Tougues,74_Tou_10,2,2,216.0,187.0,6.0,23.0,29.0,3.0,1.0,2.0,NO,46.32471667,6.256883333
Tougues,74_Tou_11,2,2,140.0,118.0,12.0,10.0,22.0,3.0,1.0,2.0,NO,46.32471667,6.256883333
Tougues,74_Tou_2,1,2,166.0,161.0,3.0,2.0,5.0,3.0,1.0,2.0,NO,46.32471667,6.256883333
Tougues,74_Tou_3,1,2,33.0,21.0,6.0,6.0,12.0,3.0,1.0,2.0,NO,46.32471667,6.256883333
Tougues,74_Tou_4,1,2,25.0,20.0,2.0,3.0,5.0,3.0,1.0,2.0,NO,46.32471667,6.256883333
Tougues,74_Tou_5,1,2,51.0,43.0,8.0,0.0,8.0,3.0,1.0,2.0,NO,46.32471667,6.256883333
Tougues,74_Tou_6,1,2,57.0,50.0,6.0,1.0,7.0,3.0,1.0,2.0,NO,46.32471667,6.256883333
Tougues,74_Tou_7,2,2,129.0,114.0,6.0,9.0,15.0,3.0,1.0,2.0,NO,46.32471667,6.256883333
