p,E,z,m,fr,fb,fj,fw,fn,fa,fdr,fdb,fdj,fdw,fdn,fda,fsr,fsb,fsj,fsw,fsn,fsa,added,fibres,fdure,souple,fragments
Rolle,VD_Rol_6,ligne-d'eau,2,20.0,24.0,0.0,73.0,24.0,4.0,3.0,1.0,4.0,1.0,29.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,194.0,145.0,40.0,9.0,49.0
Rolle,VD_Rol_7,ligne-d'eau,2,22.0,37.0,2.0,81.0,33.0,2.0,2.0,0.0,0.0,1.0,17.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,200.0,177.0,21.0,2.0,23.0
Rolle,VD_Rol_8,ligne-d'eau,2,12.0,11.0,2.0,27.0,30.0,1.0,5.0,25.0,4.0,1.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,130.0,83.0,41.0,6.0,47.0
Rolle,VD_Rol_9,ligne-d'eau,2,3.0,9.0,0.0,56.0,4.0,0.0,4.0,1.0,2.0,4.0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,95.0,72.0,21.0,2.0,23.0
Rolle,VD_Rol_10,ligne-d'eau,2,1.0,18.0,0.0,39.0,13.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,85.0,72.0,10.0,3.0,13.0
Rolle,VD_Rol_11,plage-seche,2,17.0,35.0,0.0,73.0,29.0,1.0,10.0,7.0,5.0,5.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,192.0,155.0,36.0,1.0,37.0
Rolle,VD_Rol_12,plage-seche,2,7.0,11.0,4.0,45.0,31.0,1.0,4.0,3.0,5.0,3.0,4.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,124.0,99.0,20.0,5.0,25.0
Rolle,VD_Rol_13,plage-seche,2,15.0,46.0,0.0,57.0,38.0,0.0,75.0,74.0,22.0,7.0,11.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,355.0,156.0,198.0,1.0,199.0
Rolle,VD_Rol_14,plage-seche,2,4.0,19.0,1.0,20.0,28.0,0.0,16.0,9.0,12.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,116.0,72.0,43.0,1.0,44.0
Rolle,VD_Rol_15,plage-seche,2,8.0,32.0,1.0,72.0,18.0,0.0,19.0,10.0,5.0,5.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,175.0,131.0,42.0,2.0,44.0
Rolle,VD_Rol_16,plage-seche,2,12.0,36.0,1.0,74.0,31.0,1.0,2.0,3.0,1.0,4.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,171.0,155.0,12.0,4.0,16.0
Rolle,VD_Rol_17,plage-seche,2,4.0,30.0,2.0,40.0,8.0,0.0,2.0,2.0,4.0,5.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,105.0,84.0,16.0,5.0,21.0
Rolle,VD_Rol_18,plage-seche,2,4.0,12.0,0.0,23.0,18.0,1.0,2.0,1.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,58.0,12.0,0.0,12.0
Rolle,VD_Rol_19,plage-seche,2,8.0,21.0,0.0,52.0,16.0,0.0,11.0,8.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,134.0,97.0,33.0,4.0,37.0
Rolle,VD_Rol_20,plage-seche,2,7.0,19.0,1.0,44.0,26.0,1.0,7.0,5.0,5.0,9.0,0.0,5.0,0.0,1.0,5.0,1.0,0.0,0.0,136.0,98.0,31.0,7.0,38.0
Rolle,VD_Rol_21,plage-seche,2,14.0,42.0,5.0,134.0,43.0,2.0,47.0,68.0,21.0,15.0,0.0,3.0,0.0,0.0,1.0,5.0,0.0,0.0,400.0,240.0,154.0,6.0,160.0
Aubonne,VD_Aub_1,ligne-d'eau,4,4.0,9.0,0.0,12.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,39.0,5.0,0.0,5.0
Aubonne,VD_Aub_2,ligne-d'eau,4,6.0,16.0,0.0,18.0,10.0,1.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,51.0,8.0,0.0,8.0
Aubonne,VD_Aub_3,ligne-d'eau,4,5.0,24.0,0.0,32.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,89.0,86.0,2.0,1.0,3.0
Aubonne,VD_Aub_4,ligne-d'eau,4,2.0,8.0,0.0,15.0,5.0,0.0,1.0,2.0,0.0,28.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,30.0,37.0,0.0,37.0
Aubonne,VD_Aub_5,ligne-d'eau,4,0.0,11.0,0.0,28.0,2.0,1.0,0.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,55.0,42.0,11.0,2.0,13.0
