place,événement,zone,substrat,matériel,y,région
Préverenges,VD_Pré_1,ligne-d'eau,Sables fin,souple,3.0,grand-lac
Préverenges,VD_Pré_3,ligne-d'eau,Sables fin,souple,118.0,grand-lac
Préverenges,VD_Pré_4,ligne-d'eau,Sables fin,souple,1.0,grand-lac
Préverenges,VD_Pré_5,ligne-d'eau,Sables fin,souple,3.0,grand-lac
Préverenges,VD_Pré_6,ligne-d'eau,Sables fin,souple,2.0,grand-lac
Préverenges,VD_Pré_7,ligne-d'eau,Sables fin,souple,6.0,grand-lac
Préverenges,VD_Pré_8,ligne-d'eau,Sables fin,souple,10.0,grand-lac
Préverenges,VD_Pré_9,ligne-d'eau,Sables fin,souple,13.0,grand-lac
Préverenges,VD_Pré_10,ligne-d'eau,Sables fin,souple,2.0,grand-lac
Préverenges,VD_Pré_11,plage-seche,Sables fin,souple,6.0,grand-lac
Préverenges,VD_Pré_12,plage-seche,Sables fin,souple,2.0,grand-lac
Préverenges,VD_Pré_14,plage-seche,Sables fin,souple,8.0,grand-lac
Préverenges,VD_Pré_16,plage-seche,Sables fin,souple,6.0,grand-lac
Préverenges,VD_Pré_17,plage-seche,Sables fin,souple,6.0,grand-lac
Préverenges,VD_Pré_19,plage-seche,Sables fin,souple,4.0,grand-lac
Préverenges,VD_Pré_20,plage-seche,Sables fin,souple,7.0,grand-lac
Préverenges,VD_Pré_21,plage-seche,Sables fin,souple,11.0,grand-lac
Vidy,VD_Vid_1,ligne-d'eau,Sables fin,souple,0.0,grand-lac
Vidy,VD_Vid_2,ligne-d'eau,Sables fin,souple,1.0,grand-lac
Vidy,VD_Vid_3,ligne-d'eau,Sables fin,souple,0.0,grand-lac
Vidy,VD_Vid_4,ligne-d'eau,Sables fin,souple,0.0,grand-lac
Vidy,VD_Vid_5,ligne-d'eau,Sables fin,souple,2.0,grand-lac
Vidy,VD_Vid_6,ligne-d'eau,Sables fin,souple,0.0,grand-lac
Lutry,VD_Lut_1,ligne-d'eau,Galets,souple,0.0,grand-lac
Lutry,VD_Lut_2,ligne-d'eau,Galets,souple,1.0,grand-lac
Lutry,VD_Lut_3,ligne-d'eau,Galets,souple,2.0,grand-lac
Lutry,VD_Lut_4,ligne-d'eau,Galets,souple,0.0,grand-lac
Cully,VD_Cul_1,ligne-d'eau,Graviers,souple,0.0,grand-lac
Pichette,VD_Pic_1,ligne-d'eau,Graviers,souple,0.0,haut-lac
Pichette,VD_Pic_2,ligne-d'eau,Graviers,souple,0.0,haut-lac
Pichette,VD_Pic_3,ligne-d'eau,Graviers,souple,0.0,haut-lac
Clarens,VD_Cls_1,ligne-d'eau,Galets,souple,1.0,haut-lac
Clarens,VD_Cls_2,ligne-d'eau,Galets,souple,2.0,haut-lac
Clarens,VD_Cls_3,ligne-d'eau,Galets,souple,0.0,haut-lac
Clarens,VD_Cls_4,ligne-d'eau,Galets,souple,0.0,haut-lac
Grangettes,VD_Grs_3,ligne-d'eau,Sables fin,souple,0.0,haut-lac
Bouveret,VS_Bou_1,ligne-d'eau,Sables fin,souple,0.0,haut-lac
Bouveret,VS_Bou_2,ligne-d'eau,Sables fin,souple,0.0,haut-lac
Bouveret,VS_Bou_3,ligne-d'eau,Sables fin,souple,0.0,haut-lac
Bouveret,VS_Bou_4,ligne-d'eau,Sables fin,souple,2.0,haut-lac
Bouveret,VS_Bou_5,ligne-d'eau,Sables fin,souple,0.0,haut-lac
Bouveret,VS_Bou_6,ligne-d'eau,Sables fin,souple,0.0,haut-lac
Bouveret,VS_Bou_7,ligne-d'eau,Sables fin,souple,0.0,haut-lac
Tougues,74_Tou_5,ligne-d'eau,Sables grossiers,souple,0.0,haut-lac
Amphion,74_Amp_1,ligne-d'eau,Galets,souple,0.0,grand-lac
Amphion,74_Amp_2,ligne-d'eau,Galets,souple,12.0,grand-lac
Amphion,74_Amp_3,ligne-d'eau,Galets,souple,0.0,grand-lac
Amphion,74_Amp_4,ligne-d'eau,Galets,souple,1.0,grand-lac
Anthy,74_Ant_1,ligne-d'eau,Galets,souple,4.0,grand-lac
Anthy,74_Ant_2,ligne-d'eau,Galets,souple,16.0,grand-lac
Anthy,74_Ant_3,ligne-d'eau,Galets,souple,1.0,grand-lac
Excenevex,74_Exc_1,ligne-d'eau,Sables fin,souple,21.0,grand-lac
Excenevex,74_Exc_2,ligne-d'eau,Sables fin,souple,6.0,grand-lac
Excenevex,74_Exc_3,ligne-d'eau,Sables fin,souple,10.0,grand-lac
Excenevex,74_Exc_4,ligne-d'eau,Sables fin,souple,9.0,grand-lac
Excenevex,74_Exc_5,ligne-d'eau,Sables fin,souple,4.0,grand-lac
Excenevex,74_Exc_6,ligne-d'eau,Sables fin,souple,0.0,grand-lac
Excenevex,74_Exc_7,ligne-d'eau,Sables fin,souple,3.0,grand-lac
Excenevex,74_Exc_8,ligne-d'eau,Sables fin,souple,2.0,grand-lac
Lugrin,74_Lug_1,ligne-d'eau,Galets,souple,4.0,haut-lac
Lugrin,74_Lug_2,ligne-d'eau,Galets,souple,6.0,haut-lac
Lugrin,74_Lug_3,ligne-d'eau,Galets,souple,5.0,haut-lac
Meillerie,74_Mei_1,ligne-d'eau,Sables grossiers,souple,5.0,haut-lac
Saint-Disdille,74_StD_1,ligne-d'eau,Galets,souple,2.0,grand-lac
Saint-Disdille,74_StD_2,ligne-d'eau,Galets,souple,11.0,grand-lac
Saint-Disdille,74_StD_3,ligne-d'eau,Galets,souple,30.0,grand-lac
Saint-Disdille,74_StD_4,ligne-d'eau,Galets,souple,8.0,grand-lac
Saint-Disdille,74_StD_5,ligne-d'eau,Galets,souple,0.0,grand-lac
Saint-Disdille,74_StD_6,ligne-d'eau,Galets,souple,2.0,grand-lac
Tougues,74_Tou_1,ligne-d'eau,Sables grossiers,souple,8.0,haut-lac
Tougues,74_Tou_2,ligne-d'eau,Sables grossiers,souple,2.0,haut-lac
Tougues,74_Tou_3,ligne-d'eau,Sables grossiers,souple,6.0,haut-lac
Tougues,74_Tou_4,ligne-d'eau,Sables grossiers,souple,3.0,haut-lac
Tougues,74_Tou_6,ligne-d'eau,Sables grossiers,souple,1.0,haut-lac
Port Choiseul,GE_Por_1,ligne-d'eau,Graviers,souple,1.0,petit-lac
Port Choiseul,GE_Por_2,ligne-d'eau,Graviers,souple,0.0,petit-lac
Port Choiseul,GE_Por_3,ligne-d'eau,Graviers,souple,1.0,petit-lac
Port Choiseul,GE_Por_4,ligne-d'eau,Graviers,souple,5.0,petit-lac
Port Choiseul,GE_Por_5,ligne-d'eau,Graviers,souple,1.0,petit-lac
Port Choiseul,GE_Por_6,ligne-d'eau,Graviers,souple,0.0,petit-lac
Grangettes,VD_Grs_1,ligne-d'eau,Sables fin,souple,502.0,haut-lac
Grangettes,VD_Grs_2,ligne-d'eau,Sables fin,souple,166.0,haut-lac
Grangettes,VD_Grs_4,ligne-d'eau,Sables fin,souple,316.0,haut-lac
Préverenges,VD_Pré_2,ligne-d'eau,Sables fin,souple,604.0,grand-lac
