p,E,z,m,fr,fb,fj,fw,fn,fa,fdr,fdb,fdj,fdw,fdn,fda,fsr,fsb,fsj,fsw,fsn,fsa
Rolle,VD_Rol_21,2,2,14,42,5,134,43,2,47,68,21,15,0,3,0,0,1,5,0,0
Aubonne,VD_Aub_1,1,4,4,9,,12,14,,,,,2,1,2,,,,,,
Aubonne,VD_Aub_2,1,4,6,16,0,18,10,1,0,0,0,4,1,3,0,0,0,0,0,0
Aubonne,VD_Aub_3,1,4,5,24,0,32,25,0,0,0,0,1,0,1,0,0,0,1,0,0
Aubonne,VD_Aub_4,1,4,2,8,0,15,5,0,1,2,0,28,3,3,0,0,0,0,0,0
Aubonne,VD_Aub_5,1,4,0,11,0,28,2,1,0,1,0,9,1,0,0,0,0,2,0,0
Aubonne,VD_Aub_6,2,4,5,14,0,38,17,2,0,0,0,7,2,1,0,0,0,1,0,0
Aubonne,VD_Aub_7,2,4,,,,,,,,,,,,,,,,,,
Aubonne,VD_Aub_8,2,4,,,,,,,,,,,,,,,,,,
Aubonne,VD_Aub_9,2,4,,,,,,,,,,,,,,,,,,
Tolochenaz,VD_Tol_1,1,2,2,16,0,28,7,1,1,1,0,1,0,0,0,0,0,0,0,0
Tolochenaz,VD_Tol_2,1,2,2,12,,24,16,,1,,,,,,,,,,,
Tolochenaz,VD_Tol_3,1,2,6,19,0,33,24,0,1,0,0,1,2,3,0,0,0,0,0,0
Tolochenaz,VD_Tol_4,1,2,14,29,2,74,57,0,1,0,0,1,2,2,0,0,0,0,0,0
Préverenges,VD_Pré_1,1,1,12,22,2,121,22,0,3,2,0,9,1,1,0,0,0,3,0,0
Préverenges,VD_Pré_2,1,1,,,,,,,,,,,,,,,,,,
Préverenges,VD_Pré_3,1,1,11,33,2,166,37,2,4,12,1,29,62,4,0,2,0,116,0,0
Préverenges,VD_Pré_4,1,1,6,4,1,12,13,0,1,1,0,0,39,0,0,0,1,0,0,0
Préverenges,VD_Pré_5,1,1,4,7,0,42,14,0,2,1,2,1,51,1,0,0,0,3,0,0
Préverenges,VD_Pré_6,1,1,1,12,0,43,12,1,0,3,1,1,9,1,0,0,0,2,0,0
Préverenges,VD_Pré_7,1,1,8,28,0,43,31,0,2,2,2,12,12,2,0,0,0,3,3,0
Préverenges,VD_Pré_8,1,1,11,26,2,73,20,0,1,1,0,0,7,0,0,0,0,10,0,0
Préverenges,VD_Pré_9,1,1,5,31,0,60,19,3,2,1,0,4,34,2,0,2,0,11,0,0
Préverenges,VD_Pré_10,1,1,5,8,1,22,17,0,4,3,2,1,29,1,0,0,0,2,0,0
Préverenges,VD_Pré_11,2,1,11,33,3,133,41,3,1,4,1,12,4,1,0,0,2,4,0,0
Préverenges,VD_Pré_12,2,1,9,23,1,71,19,1,1,1,0,5,6,0,0,0,0,0,1,1
Préverenges,VD_Pré_13,2,1,,,,,,,,,,,,,,,,,,
Préverenges,VD_Pré_14,2,1,15,42,0,123,27,1,1,1,2,16,6,0,0,0,2,6,0,0
Préverenges,VD_Pré_15,2,1,,,,,,,,,,,,,,,,,,
Préverenges,VD_Pré_16,2,1,4,29,0,43,17,1,0,2,0,10,1,1,0,0,0,6,0,0
Préverenges,VD_Pré_17,2,1,9,22,4,60,34,1,1,3,1,12,3,1,0,0,0,4,2,0
Préverenges,VD_Pré_18,2,1,,,,,,,,,,,,,,,,,,
Préverenges,VD_Pré_19,2,1,17,16,0,62,23,2,4,1,1,11,0,1,0,0,0,4,0,0
Préverenges,VD_Pré_20,2,1,9,22,2,65,22,1,3,3,2,16,3,2,0,0,0,6,1,0
Préverenges,VD_Pré_21,2,1,9,36,4,118,39,0,21,39,3,14,4,4,0,1,1,9,0,0
Préverenges,VD_Pré_22,2,1,,,,,,,,,,,,,,,,,,
Préverenges,VD_Pré_23,2,1,,,,,,,,,,,,,,,,,,
Préverenges,VD_Pré_24,2,1,,,,,,,,,,,,,,,,,,
Vidy,VD_Vid_1,1,1,18,22,1,37,21,3,0,0,0,2,0,0,0,0,0,0,0,0
Vidy,VD_Vid_2,1,1,25,48,1,82,46,0,3,4,0,2,0,1,0,0,0,1,0,0
Vidy,VD_Vid_3,1,1,2,12,,18,7,,,,,1,,,,,,,,
Vidy,VD_Vid_4,1,1,3,6,,8,7,,,1,,,1,,,,,,,
Vidy,VD_Vid_5,1,1,1,9,,21,4,1,,2,,3,8,,,,,2,,
Vidy,VD_Vid_6,1,1,3,12,,13,6,,,,,,1,,,,,,,
Vidy,VD_Vid_7,2,1,,,,,,,,,,,,,,,,,,
Vidy,VD_Vid_8,2,1,,,,,,,,,,,,,,,,,,
Vidy,VD_Vid_9,2,1,,,,,,,,,,,,,,,,,,
Vidy,VD_Vid_10,2,1,,,,,,,,,,,,,,,,,,
