Lieu;Aire;Temps;Position;Substrat;Date;Saison;Objet;Code;OPSAR;UNEP;Quantité;Poids;;;
Baby Plage;112;60;1;1;22.01.2022;1;Morceaux/fragments de plastique anguleux de moins de 5mm;G106;;;2;0,000042;0,017857143;0,021;0,021
Baby Plage;384;200;2;1;22.01.2022;1;Morceaux/fragments de plastique anguleux de moins de 5mm;G106;;;105;0,002205;0,2734375;0,021;
Baby Plage;384;200;2;1;23.04.2022;2;Morceaux/fragments de plastique anguleux de moins de 5mm;G106;;;38;0,000798;0,098958333;0,021;
Baby Plage;384;200;2;1;02.09.2022;3;Morceaux/fragments de plastique anguleux de moins de 5mm;G106;;;36;0,000756;0,09375;0,021;
Baby Plage;112;60;1;1;15.10.2022;4;Morceaux/fragments de plastique anguleux de moins de 5mm;G106;;;11;0,000231;0,098214286;0,021;
Baby Plage;384;200;2;1;15.10.2022;4;Morceaux/fragments de plastique anguleux de moins de 5mm;G106;;;16;0,000336;0,041666667;0,021;
Baby Plage;384;200;2;1;22.01.2022;1;Pellets/Nurdles industriels;G112;;PL23;10;0,00025;0,026041667;0,025;
Baby Plage;112;60;1;1;23.04.2022;2;Pellets/Nurdles industriels;G112;;PL23;5;0,000125;0,044642857;0,025;
Baby Plage;384;200;2;1;23.04.2022;2;Pellets/Nurdles industriels;G112;;PL23;8;0,0002;0,020833333;0,025;
Baby Plage;112;60;1;1;02.09.2022;3;Pellets/Nurdles industriels;G112;;PL23;2;0,00005;0,017857143;0,025;
Baby Plage;384;200;2;1;02.09.2022;3;Pellets/Nurdles industriels;G112;;PL23;83;0,002075;0,216145833;0,025;
Baby Plage;112;60;1;1;15.10.2022;4;Pellets/Nurdles industriels;G112;;PL23;8;0,0002;0,071428571;0,025;
Baby Plage;384;200;2;1;15.10.2022;4;Pellets/Nurdles industriels;G112;;PL23;23;0,000575;0,059895833;0,025;
Baby Plage;384;200;2;1;23.04.2022;2;Filaments de plastique de moins de 5 mm;G113;;;2;0,00004;0,005208333;0,02;
Baby Plage;112;60;1;1;15.10.2022;4;Filaments de plastique de moins de 5 mm;G113;;;6;0,00012;0,053571429;0,02;
Baby Plage;112;60;1;1;15.10.2022;4;Film plastique non-alimentaire de moins de 5 mm;G114;;;2;0,000006;0,017857143;0,003;
Baby Plage;384;200;2;1;22.01.2022;1;Sagex-EPS/Polystirène expensé de moins de 5mm;G117;;;53;0,0001;0,138020833;0,001886792;
Baby Plage;112;60;1;1;02.09.2022;3;Sagex-EPS/Polystirène expensé de moins de 5mm;G117;;;1;1,88679E-06;0,008928571;0,001886792;
Baby Plage;384;200;2;1;15.10.2022;4;Sagex-EPS/Polystirène expensé de moins de 5mm;G117;;;3;5,66038E-06;0,0078125;0,001886792;
