;;;;;;;;;;;FIBRE;;;;;;FRAGMENT DUR;;;;;;FRAGMENT SOUPLE;;;;;
Plage;"Fréquentation (1=Faible; 2=moyenne; 3= élevée)";"Situation (1 = campagne; 2 =urbain)";"Distance parking (1=<100m; 2=100-500m; 3=500-1000m; 4=<1000m)";Echantillon;Coordonnée x;Coordonnée y;Orientation;Orientation moyenne;"Position de l'échantillon
1 = Ligne d'eau
2 = reste de la plage";"Substrat (1 = Sable fin; 2 = Sable grossier; 3 = Gravier; 4 = Galet )";Rouge/rose;Bleu;Jaune/orange;Blanc/transparent;Noir/gris;Autre;Rouge/rose;Bleu;Jaune/orange;Blanc/transparent;Noir/gris;Autre;Rouge/rose;Bleu;Jaune/orange;Blanc/transparent;Noir/gris;Autre
Préverenges;3;1;2;VD_Pré_3;46,51158333;6,529683333;SO;225;1;1;11;33;2;166;37;2;4;12;1;29;62;4;0;2;0;116;0;0
Préverenges;3;1;2;VD_Pré_4;46,51166667;6,529533333;SO;225;1;1;6;4;1;12;13;0;1;1;0;0;39;0;0;0;1;0;0;0
Préverenges;3;1;2;VD_Pré_5;46,51173333;6,529383333;SO;225;1;1;4;7;0;42;14;0;2;1;2;1;51;1;0;0;0;3;0;0
Préverenges;3;1;2;VD_Pré_6;46,51188333;6,529083333;SO;225;1;1;1;12;0;43;12;1;0;3;1;1;9;1;0;0;0;2;0;0
Préverenges;3;1;2;VD_Pré_7;46,51195;6,529016667;SO;225;1;1;8;28;0;43;31;0;2;2;2;12;12;2;0;0;0;3;3;0
Préverenges;3;1;2;VD_Pré_8;46,512;6,528883333;SO;225;1;1;11;26;2;73;20;0;1;1;0;0;7;0;0;0;0;10;0;0
Préverenges;3;1;2;VD_Pré_9;46,51208333;6,528733333;SO;225;1;1;5;31;0;60;19;3;2;1;0;4;34;2;0;2;0;11;0;0
Rolle;3;2;1;VD_Rol_1;46,46133333;6,350633333;SSO;183,2142857;1;1;15;9;0;19;24;0;4;2;1;2;15;6;0;0;1;1;0;0
Rolle;3;2;1;VD_Rol_10;46,46133333;6,349783333;S;183,2142857;1;1;1;18;0;39;13;1;1;0;0;0;9;0;0;0;0;3;0;0
Rolle;3;2;1;VD_Rol_11;46,46138333;6,35055;SSO;183,2142857;2;1;17;35;0;73;29;1;10;7;5;5;4;5;0;0;0;1;0;0
Rolle;3;2;1;VD_Rol_12;46,4614;6,35045;SSO;183,2142857;2;1;7;11;4;45;31;1;4;3;5;3;4;1;0;1;1;2;0;1
Rolle;3;2;1;VD_Rol_13;46,46141667;6,350366667;SSO;183,2142857;2;1;15;46;0;57;38;0;75;74;22;7;11;9;0;0;0;1;0;0
Rolle;3;2;1;VD_Rol_14;46,46143333;6,350266667;S;183,2142857;2;1;4;19;1;20;28;0;16;9;12;1;2;3;0;0;0;1;0;0
Rolle;3;2;1;VD_Rol_15;46,46143333;6,350183333;S;183,2142857;2;1;8;32;1;72;18;0;19;10;5;5;1;2;0;0;0;2;0;0
Rolle;3;2;1;VD_Rol_16;46,46141667;6,350066667;S;183,2142857;2;1;12;36;1;74;31;1;2;3;1;4;0;2;1;0;1;2;0;0
Rolle;3;2;1;VD_Rol_17;46,46136667;6,349883333;SSE;183,2142857;2;1;4;30;2;40;8;0;2;2;4;5;1;2;0;0;0;5;0;0
Rolle;3;2;1;VD_Rol_18;46,46135;6,349783333;S;183,2142857;2;1;4;12;0;23;18;1;2;1;1;5;2;1;0;0;0;0;0;0
Rolle;3;2;1;VD_Rol_19;46,46146667;6,350216667;S;183,2142857;2;1;8;21;0;52;16;0;11;8;1;10;3;0;0;0;0;4;0;0
Rolle;3;2;1;VD_Rol_2;46,46133333;6,350516667;SSO;183,2142857;1;1;7;4;0;7;10;0;2;2;5;2;23;1;0;0;0;0;0;0
Rolle;3;2;1;VD_Rol_20;46,46145;6,350166667;S;183,2142857;2;1;7;19;1;44;26;1;7;5;5;9;0;5;0;1;5;1;0;0
Rolle;3;2;1;VD_Rol_21;46,46145;6,350033333;SSE;183,2142857;2;1;14;42;5;134;43;2;47;68;21;15;0;3;0;0;1;5;0;0
Rolle;3;2;1;VD_Rol_3;46,46133333;6,350466667;SSO;183,2142857;1;1;18;9;0;15;18;0;4;2;2;0;7;0;0;1;0;2;0;0
Rolle;3;2;1;VD_Rol_4;46,46135;6,350333333;SSO;183,2142857;1;1;12;30;0;80;36;2;2;2;0;2;18;0;0;0;0;1;1;0
Rolle;3;2;1;VD_Rol_5;46,46136667;6,350266667;S;183,2142857;1;1;15;15;0;43;23;2;1;3;1;3;13;0;0;1;0;1;0;0
Rolle;3;2;1;VD_Rol_6;46,46136667;6,3502;S;183,2142857;1;1;20;24;0;73;24;4;3;1;4;1;29;2;0;0;0;9;0;0
Rolle;3;2;1;VD_Rol_7;46,46138333;6,350133333;S;183,2142857;1;1;22;37;2;81;33;2;2;0;0;1;17;1;0;1;0;0;1;0
Rolle;3;2;1;VD_Rol_8;46,46136667;6,35005;SSE;183,2142857;1;1;12;11;2;27;30;1;5;25;4;1;3;3;0;0;3;3;0;0
Rolle;3;2;1;VD_Rol_9;46,46135;6,3499;SSE;183,2142857;1;1;3;9;0;56;4;0;4;1;2;4;5;5;0;0;0;2;0;0
Tolochenaz;1;1;4;VD_Tol_1;46,4917;6,48075;SE;101,25;1;2;2;16;0;28;7;1;1;1;0;1;0;0;0;0;0;0;0;0
Tolochenaz;1;1;4;VD_Tol_2;46,49166667;6,4807;SE;101,25;1;2;2;12;;24;16;;1;;;;;;;;;;;
Tolochenaz;1;1;4;VD_Tol_3;46,49158333;6,480633333;ENE;101,25;1;2;6;19;0;33;24;0;1;0;0;1;2;3;0;0;0;0;0;0
Tolochenaz;1;1;4;VD_Tol_4;46,4916;6,480583333;ENE;101,25;1;2;14;29;2;74;57;0;1;0;0;1;2;2;0;0;0;0;0;0
Vidy;3;2;2;VD_Vid_1;46,51121667;6,6109;SO;205,9615385;1;1;18;22;1;37;21;3;0;0;0;2;0;0;0;0;0;0;0;0
Vidy;3;2;2;VD_Vid_10;46,51136667;6,610483333;S;205,9615385;2;1;;;;;;;;;;;;;;;;;;
Vidy;3;2;2;VD_Vid_11;46,51131667;6,6109;SO;205,9615385;2;1;;;;;;;;;;;;;;;;;;
Vidy;3;2;2;VD_Vid_12;46,51135;6,6108;SO;205,9615385;2;1;;;;;;;;;;;;;;;;;;
Vidy;3;2;2;VD_Vid_13;46,51138333;6,610533333;S;205,9615385;2;1;;;;;;;;;;;;;;;;;;
Vidy;3;2;2;VD_Vid_2;46,51126667;6,610783333;SO;205,9615385;1;1;25;48;1;82;46;0;3;4;0;2;0;1;0;0;0;1;0;0
Vidy;3;2;2;VD_Vid_3;46,51131667;6,61065;SO;205,9615385;1;1;2;12;;18;7;;;;;1;;;;;;;;
Vidy;3;2;2;VD_Vid_4;46,51133333;6,6106;S;205,9615385;1;1;3;6;;8;7;;;1;;;1;;;;;;;
Vidy;3;2;2;VD_Vid_5;46,51133333;6,610416667;S;205,9615385;1;1;1;9;;21;4;1;;2;;3;8;;;;;2;;
Vidy;3;2;2;VD_Vid_6;46,51131667;6,611033333;SSE;205,9615385;1;1;3;12;;13;6;;;;;;1;;;;;;;
Vidy;3;2;2;VD_Vid_7;46,51125;6,610916667;SO;205,9615385;2;1;;;;;;;;;;;;;;;;;;
Vidy;3;2;2;VD_Vid_8;46,51131667;6,610833333;SO;205,9615385;2;1;;;;;;;;;;;;;;;;;;
Vidy;3;2;2;VD_Vid_9;46,51133333;6,610683333;SO;205,9615385;2;1;;;;;;;;;;;;;;;;;;
Bouveret;3;1;2;VS_Bou_1;46,389;6,859816667;ONO;273,75;1;1;4;10;0;37;17;0;1;1;0;6;4;2;0;0;0;0;0;0
Bouveret;3;1;2;VS_Bou_10;46,3892;6,85995;O;273,75;2;1;;;;;;;;;;;;;;;;;;
Bouveret;3;1;2;VS_Bou_11;46,3893;6,859933333;O;273,75;2;1;;;;;;;;;;;;;;;;;;
Bouveret;3;1;2;VS_Bou_12;46,3892;6,859966667;O;273,75;2;1;;;;;;;;;;;;;;;;;;
Bouveret;3;1;2;VS_Bou_2;46,3891;6,859833333;ONO;273,75;1;1;6;16;2;63;13;0;0;1;0;8;0;0;0;0;0;0;0;0
Bouveret;3;1;2;VS_Bou_3;46,38915;6,85985;O;273,75;1;1;3;8;0;19;6;0;0;0;0;1;0;0;0;0;0;0;0;0
Bouveret;3;1;2;VS_Bou_4;46,3892;6,859866667;O;273,75;1;1;4;8;0;17;8;0;8;1;0;3;6;0;0;0;0;2;0;0
Bouveret;3;1;2;VS_Bou_5;46,38931667;6,859866667;O;273,75;1;1;4;38;0;110;45;2;41;2;6;0;6;4;0;0;0;0;0;0
Bouveret;3;1;2;VS_Bou_6;46,3894;6,859866667;OSO;273,75;1;1;2;4;2;16;10;1;;;;;;;;;;;;
Bouveret;3;1;2;VS_Bou_7;46,38951667;6,859816667;OSO;273,75;1;1;2;8;1;31;11;;2;;;2;1;;;;;;;
Bouveret;3;1;2;VS_Bou_8;46,38901667;6,859833333;ONO;273,75;2;1;;;;;;;;;;;;;;;;;;
Bouveret;3;1;2;VS_Bou_9;46,3891;6,859883333;ONO;273,75;2;1;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;;;;;;;;;;;1420;2568;145;8043;3128;112;554;868;384;734;628;189;34;51;35;1926;103;15
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Fibre;15416;0,736304151;;;;;;;;;;;;;;;;;
;;;;;;;;;Fragment dur;3357;0,263695849;;;;;;;;;;;;;;;;;
;;;;;;;;;Fragment souple;2164;;;;;;;;;;;;;;;;;;
