loc_date,date,slug,code,quantity,city,feature_name,feature_type,parent_boundary,pcs_m,project
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G142,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G143,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G144,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G145,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G146,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G147,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G148,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G149,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G150,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G151,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G152,1,La Tour-de-Peilz,lac-leman,l,rhone,0.04,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G153,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G154,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G155,1,La Tour-de-Peilz,lac-leman,l,rhone,0.04,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G156,1,La Tour-de-Peilz,lac-leman,l,rhone,0.04,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G157,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G158,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G159,2,La Tour-de-Peilz,lac-leman,l,rhone,0.07,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G160,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G161,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G162,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G165,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G166,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G167,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G17,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G170,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G171,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G172,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G173,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G174,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G175,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G176,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G177,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G178,1,La Tour-de-Peilz,lac-leman,l,rhone,0.04,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G179,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G180,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G181,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G182,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G183,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G185,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G186,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G188,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G19,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G190,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G191,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G193,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G194,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G195,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G196,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G197,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G198,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
