Plage,echantillon,position,substrat,fbr,fbb,fbj,fbt,fbn,fba,frr,frb,frj,frt,frn,fra,fsr,fsb,fsj,fst,fsn,fsa,added,fibres,fdure,souple,fragments,frequentation,situation,distance,orientation
Excenevex,74_Exc_1,1,1,8.0,13.0,0.0,31.0,32.0,0.0,3.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,8.0,0.0,118.0,84.0,13.0,21.0,34.0,3.0,1.0,1.0,NE
Excenevex,74_Exc_10,2,1,5.0,5.0,2.0,46.0,52.0,0.0,12.0,9.0,1.0,3.0,15.0,1.0,0.0,5.0,1.0,29.0,14.0,0.0,200.0,110.0,41.0,49.0,90.0,3.0,1.0,1.0,NE
Excenevex,74_Exc_11,2,1,6.0,17.0,0.0,64.0,11.0,0.0,2.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,112.0,98.0,11.0,3.0,14.0,3.0,1.0,1.0,NE
Excenevex,74_Exc_13,2,1,7.0,15.0,0.0,26.0,20.0,0.0,12.0,7.0,1.0,5.0,5.0,2.0,4.0,1.0,2.0,10.0,2.0,0.0,119.0,68.0,32.0,19.0,51.0,3.0,1.0,1.0,NE
Excenevex,74_Exc_14,2,1,2.0,12.0,0.0,53.0,9.0,0.0,4.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,1.0,95.0,76.0,12.0,7.0,19.0,3.0,1.0,1.0,NE
Excenevex,74_Exc_15,2,1,12.0,16.0,5.0,63.0,28.0,0.0,5.0,9.0,1.0,4.0,16.0,0.0,2.0,4.0,2.0,12.0,3.0,1.0,183.0,124.0,35.0,24.0,59.0,3.0,1.0,1.0,NE
Excenevex,74_Exc_17,2,1,8.0,12.0,2.0,53.0,22.0,0.0,1.0,8.0,6.0,7.0,3.0,0.0,1.0,4.0,1.0,7.0,1.0,0.0,136.0,97.0,25.0,14.0,39.0,3.0,1.0,1.0,NE
Excenevex,74_Exc_18,2,1,8.0,5.0,1.0,53.0,40.0,1.0,4.0,13.0,1.0,0.0,7.0,0.0,1.0,0.0,1.0,16.0,15.0,0.0,166.0,108.0,25.0,33.0,58.0,3.0,1.0,1.0,NE
Excenevex,74_Exc_19,2,1,10.0,8.0,1.0,43.0,14.0,2.0,5.0,7.0,0.0,17.0,8.0,0.0,2.0,3.0,2.0,9.0,5.0,1.0,137.0,78.0,37.0,22.0,59.0,3.0,1.0,1.0,NE
Excenevex,74_Exc_20,2,1,1.0,9.0,0.0,26.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,48.0,44.0,2.0,2.0,4.0,3.0,1.0,1.0,NE
Excenevex,74_Exc_21,2,1,1.0,4.0,0.0,34.0,18.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,65.0,57.0,3.0,5.0,8.0,3.0,1.0,1.0,NE
Excenevex,74_Exc_22,2,1,11.0,1.0,0.0,85.0,13.0,0.0,5.0,4.0,8.0,18.0,22.0,2.0,0.0,1.0,0.0,9.0,0.0,0.0,179.0,110.0,59.0,10.0,69.0,3.0,1.0,1.0,NE
Excenevex,74_Exc_23,2,1,4.0,1.0,1.0,14.0,10.0,0.0,16.0,5.0,2.0,2.0,6.0,1.0,0.0,0.0,0.0,12.0,2.0,0.0,76.0,30.0,32.0,14.0,46.0,3.0,1.0,1.0,NE
Excenevex,74_Exc_25,2,1,7.0,5.0,4.0,25.0,10.0,0.0,4.0,8.0,0.0,2.0,6.0,2.0,1.0,1.0,1.0,27.0,1.0,1.0,105.0,51.0,22.0,32.0,54.0,3.0,1.0,1.0,NE
Excenevex,74_Exc_27,2,1,3.0,8.0,0.0,135.0,22.0,0.0,16.0,6.0,0.0,1.0,5.0,1.0,0.0,2.0,0.0,62.0,1.0,0.0,262.0,168.0,29.0,65.0,94.0,3.0,1.0,1.0,NE
Excenevex,74_Exc_29,2,1,2.0,4.0,0.0,26.0,7.0,1.0,4.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,54.0,40.0,12.0,2.0,14.0,3.0,1.0,1.0,NE
Excenevex,74_Exc_3,1,1,13.0,30.0,0.0,51.0,15.0,0.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,2.0,1.0,6.0,1.0,0.0,130.0,109.0,11.0,10.0,21.0,3.0,1.0,1.0,NE
Excenevex,74_Exc_30,2,1,3.0,6.0,0.0,44.0,5.0,1.0,6.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,9.0,0.0,0.0,81.0,59.0,11.0,11.0,22.0,3.0,1.0,1.0,NE
Excenevex,74_Exc_31,2,1,2.0,2.0,0.0,49.0,4.0,0.0,5.0,0.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,5.0,2.0,0.0,78.0,57.0,13.0,8.0,21.0,3.0,1.0,1.0,NE
Excenevex,74_Exc_32,2,1,7.0,15.0,4.0,129.0,32.0,0.0,9.0,14.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,36.0,6.0,0.0,265.0,187.0,36.0,42.0,78.0,3.0,1.0,1.0,NE
Excenevex,74_Exc_33,2,1,16.0,17.0,8.0,115.0,32.0,1.0,5.0,6.0,4.0,3.0,1.0,0.0,0.0,2.0,4.0,54.0,8.0,1.0,277.0,189.0,19.0,69.0,88.0,3.0,1.0,1.0,NE
Excenevex,74_Exc_34,2,1,5.0,9.0,2.0,100.0,58.0,2.0,7.0,8.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,6.0,4.0,0.0,207.0,176.0,20.0,11.0,31.0,3.0,1.0,1.0,NE
Excenevex,74_Exc_4,1,1,8.0,2.0,2.0,20.0,7.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,51.0,39.0,3.0,9.0,12.0,3.0,1.0,1.0,NE
Excenevex,74_Exc_5,1,1,1.0,2.0,0.0,23.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,38.0,33.0,1.0,4.0,5.0,3.0,1.0,1.0,NE
Excenevex,74_Exc_6,1,1,26.0,16.0,0.0,73.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,125.0,3.0,0.0,3.0,3.0,1.0,1.0,NE
Excenevex,74_Exc_7,1,1,30.0,16.0,1.0,62.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,123.0,120.0,0.0,3.0,3.0,3.0,1.0,1.0,NE
Excenevex,74_Exc_8,1,1,26.0,9.0,0.0,86.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,128.0,126.0,0.0,2.0,2.0,3.0,1.0,1.0,NE
Excenevex,74_Exc_9,2,1,5.0,4.0,0.0,137.0,11.0,0.0,16.0,7.0,1.0,2.0,6.0,4.0,0.0,1.0,0.0,20.0,0.0,0.0,214.0,157.0,36.0,21.0,57.0,3.0,1.0,1.0,NE
Lugrin,74_Lug_1,1,4,28.0,10.0,1.0,38.0,32.0,1.0,8.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,126.0,110.0,12.0,4.0,16.0,2.0,1.0,2.0,NNE
Lugrin,74_Lug_2,1,4,4.0,10.0,1.0,89.0,21.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,135.0,126.0,3.0,6.0,9.0,2.0,1.0,2.0,N
Lugrin,74_Lug_3,1,4,1.0,6.0,2.0,38.0,18.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,72.0,66.0,1.0,5.0,6.0,2.0,1.0,2.0,NNO
Lugrin,74_Lug_4,2,4,4.0,9.0,1.0,22.0,16.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,13.0,1.0,0.0,75.0,54.0,3.0,18.0,21.0,2.0,1.0,2.0,N
Lugrin,74_Lug_5,2,4,49.0,37.0,9.0,357.0,113.0,2.0,9.0,15.0,1.0,4.0,0.0,1.0,0.0,2.0,3.0,60.0,3.0,0.0,665.0,567.0,30.0,68.0,98.0,2.0,1.0,2.0,N
Meillerie,74_Mei_1,1,2,1.0,0.0,1.0,16.0,8.0,0.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,57.0,26.0,26.0,5.0,31.0,1.0,2.0,3.0,N
Saint-Disdille,74_StD_1,1,4,8.0,7.0,0.0,37.0,27.0,0.0,7.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,96.0,79.0,15.0,2.0,17.0,2.0,1.0,1.0,N
Saint-Disdille,74_StD_2,1,4,19.0,36.0,0.0,116.0,49.0,1.0,2.0,4.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,0.0,246.0,221.0,14.0,11.0,25.0,2.0,1.0,1.0,N
Saint-Disdille,74_StD_3,1,4,22.0,37.0,1.0,159.0,38.0,4.0,6.0,9.0,1.0,21.0,0.0,6.0,8.0,3.0,1.0,17.0,0.0,1.0,334.0,261.0,43.0,30.0,73.0,2.0,1.0,1.0,NNO
Saint-Disdille,74_StD_4,1,4,8.0,7.0,1.0,71.0,28.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,131.0,115.0,8.0,8.0,16.0,2.0,1.0,1.0,NNO
Saint-Disdille,74_StD_5,1,4,5.0,12.0,0.0,99.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,116.0,1.0,0.0,1.0,2.0,1.0,1.0,NNO
Saint-Disdille,74_StD_6,1,4,29.0,13.0,1.0,25.0,45.0,0.0,36.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,155.0,113.0,40.0,2.0,42.0,2.0,1.0,1.0,NO
Tougues,74_Tou_1,1,2,2.0,6.0,0.0,28.0,27.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,74.0,63.0,3.0,8.0,11.0,3.0,1.0,2.0,NO
Tougues,74_Tou_10,2,2,12.0,24.0,3.0,119.0,27.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,18.0,0.0,0.0,216.0,187.0,6.0,23.0,29.0,3.0,1.0,2.0,NO
Tougues,74_Tou_11,2,2,5.0,27.0,1.0,58.0,26.0,1.0,1.0,3.0,0.0,7.0,0.0,1.0,2.0,3.0,1.0,4.0,0.0,0.0,140.0,118.0,12.0,10.0,22.0,3.0,1.0,2.0,NO
Tougues,74_Tou_2,1,2,3.0,21.0,0.0,122.0,15.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,166.0,161.0,3.0,2.0,5.0,3.0,1.0,2.0,NO
Tougues,74_Tou_3,1,2,2.0,2.0,0.0,8.0,9.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,33.0,21.0,6.0,6.0,12.0,3.0,1.0,2.0,NO
Tougues,74_Tou_4,1,2,1.0,2.0,0.0,14.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,25.0,20.0,2.0,3.0,5.0,3.0,1.0,2.0,NO
Tougues,74_Tou_5,1,2,1.0,10.0,0.0,26.0,6.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,43.0,8.0,0.0,8.0,3.0,1.0,2.0,NO
Tougues,74_Tou_6,1,2,8.0,5.0,4.0,11.0,22.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,57.0,50.0,6.0,1.0,7.0,3.0,1.0,2.0,NO
Tougues,74_Tou_7,2,2,3.0,5.0,1.0,83.0,22.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,129.0,114.0,6.0,9.0,15.0,3.0,1.0,2.0,NO
Tougues,74_Tou_8,2,2,5.0,6.0,2.0,36.0,10.0,0.0,2.0,7.0,4.0,9.0,5.0,0.0,0.0,2.0,1.0,26.0,0.0,0.0,115.0,59.0,27.0,29.0,56.0,3.0,1.0,2.0,NO
Tougues,74_Tou_9,2,2,0.0,2.0,1.0,132.0,20.0,1.0,0.0,0.0,0.0,3.0,1.0,3.0,2.0,1.0,0.0,6.0,0.0,0.0,172.0,156.0,7.0,9.0,16.0,3.0,1.0,2.0,NO
Baby Plage,GE_Bab_1,1,1,4.0,11.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,22.0,1.0,0.0,1.0,3.0,2.0,2.0,NNE
Baby Plage,GE_Bab_10,2,1,10.0,19.0,1.0,101.0,38.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,16.0,0.0,1.0,194.0,169.0,7.0,18.0,25.0,3.0,2.0,2.0,N
Baby Plage,GE_Bab_11,2,1,9.0,24.0,1.0,41.0,29.0,1.0,16.0,19.0,6.0,7.0,2.0,1.0,10.0,6.0,2.0,24.0,6.0,2.0,206.0,105.0,51.0,50.0,101.0,3.0,2.0,2.0,N
Baby Plage,GE_Bab_2,1,1,4.0,16.0,1.0,83.0,16.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,122.0,3.0,0.0,3.0,3.0,2.0,2.0,N
Baby Plage,GE_Bab_3,1,1,3.0,3.0,0.0,17.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,31.0,1.0,0.0,1.0,3.0,2.0,2.0,N
Baby Plage,GE_Bab_4,1,1,6.0,2.0,0.0,7.0,6.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,21.0,6.0,0.0,6.0,3.0,2.0,2.0,N
Baby Plage,GE_Bab_5,1,1,7.0,26.0,0.0,53.0,33.0,0.0,0.0,14.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,119.0,19.0,0.0,19.0,3.0,2.0,2.0,N
Baby Plage,GE_Bab_6,2,1,4.0,11.0,0.0,23.0,13.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,51.0,8.0,0.0,8.0,3.0,2.0,2.0,NNE
Baby Plage,GE_Bab_7,2,1,7.0,10.0,1.0,47.0,22.0,1.0,4.0,1.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,88.0,12.0,0.0,12.0,3.0,2.0,2.0,NNE
Baby Plage,GE_Bab_8,2,1,16.0,38.0,2.0,76.0,70.0,1.0,4.0,6.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,223.0,203.0,16.0,4.0,20.0,3.0,2.0,2.0,N
Baby Plage,GE_Bab_9,2,1,4.0,16.0,2.0,84.0,42.0,0.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,161.0,148.0,8.0,5.0,13.0,3.0,2.0,2.0,N
Hermance,GE_Her_1,1,3,4.0,14.0,0.0,51.0,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,79.0,3.0,0.0,3.0,3.0,2.0,2.0,OSO
Hermance,GE_Her_2,1,3,3.0,2.0,0.0,15.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,25.0,1.0,0.0,1.0,3.0,2.0,2.0,OSO
Hermance,GE_Her_3,1,3,5.0,7.0,2.0,26.0,29.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,69.0,4.0,0.0,4.0,3.0,2.0,2.0,OSO
Hermance,GE_Her_4,1,3,6.0,12.0,1.0,24.0,32.0,1.0,4.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,76.0,9.0,0.0,9.0,3.0,2.0,2.0,OSO
Hermance,GE_Her_5,2,3,10.0,17.0,1.0,141.0,37.0,,1.0,10.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0,3.0,0.0,230.0,206.0,12.0,12.0,24.0,3.0,2.0,2.0,OSO
Hermance,GE_Her_6,2,3,15.0,17.0,1.0,80.0,73.0,2.0,2.0,7.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,206.0,188.0,10.0,8.0,18.0,3.0,2.0,2.0,OSO
Hermance,GE_Her_7,2,3,9.0,16.0,5.0,162.0,63.0,2.0,7.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,15.0,5.0,0.0,290.0,257.0,12.0,21.0,33.0,3.0,2.0,2.0,OSO
Hermance,GE_Her_8,2,3,7.0,3.0,1.0,22.0,12.0,,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,5.0,57.0,45.0,3.0,9.0,12.0,3.0,2.0,2.0,OSO
Hermance,GE_Her_9,2,3,6.0,29.0,2.0,325.0,73.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,15.0,0.0,1.0,461.0,437.0,6.0,18.0,24.0,3.0,2.0,2.0,OSO
Port Choiseul,GE_Por_1,1,3,10.0,5.0,3.0,5.0,14.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,40.0,37.0,2.0,1.0,3.0,3.0,2.0,2.0,NE
Port Choiseul,GE_Por_10,2,3,83.0,125.0,17.0,489.0,142.0,3.0,18.0,19.0,5.0,119.0,13.0,23.0,1.0,3.0,2.0,14.0,0.0,0.0,1076.0,859.0,197.0,20.0,217.0,3.0,2.0,2.0,NE
Port Choiseul,GE_Por_2,1,3,3.0,15.0,0.0,28.0,13.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,61.0,1.0,0.0,1.0,3.0,2.0,2.0,NE
Port Choiseul,GE_Por_3,1,3,10.0,11.0,6.0,26.0,24.0,3.0,1.0,1.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,91.0,80.0,10.0,1.0,11.0,3.0,2.0,2.0,NE
Port Choiseul,GE_Por_4,1,3,18.0,6.0,0.0,34.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,70.0,62.0,3.0,5.0,8.0,3.0,2.0,2.0,NE
Port Choiseul,GE_Por_5,1,3,5.0,1.0,2.0,12.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36.0,35.0,0.0,1.0,1.0,3.0,2.0,2.0,NE
Port Choiseul,GE_Por_6,1,3,11.0,21.0,3.0,17.0,27.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,84.0,1.0,0.0,1.0,3.0,2.0,2.0,NE
Port Choiseul,GE_Por_7,2,3,98.0,153.0,16.0,355.0,149.0,2.0,36.0,337.0,213.0,91.0,3.0,16.0,0.0,1.0,2.0,19.0,1.0,0.0,1492.0,773.0,696.0,23.0,719.0,3.0,2.0,2.0,NE
Port Choiseul,GE_Por_9,2,3,83.0,157.0,11.0,395.0,135.0,8.0,12.0,63.0,2.0,64.0,6.0,10.0,2.0,2.0,1.0,26.0,0.0,0.0,977.0,789.0,157.0,31.0,188.0,3.0,2.0,2.0,NE
Savonnière,GE_Sav_1,1,4,7.0,10.0,0.0,69.0,23.0,1.0,1.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,110.0,10.0,0.0,10.0,3.0,1.0,1.0,NO
Savonnière,GE_Sav_2,1,4,0.0,1.0,0.0,13.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,24.0,2.0,0.0,2.0,3.0,1.0,1.0,NO
Savonnière,GE_Sav_3,1,4,10.0,39.0,4.0,116.0,41.0,0.0,9.0,13.0,4.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,210.0,34.0,0.0,34.0,3.0,1.0,1.0,OSO
Savonnière,GE_Sav_4,2,2,26.0,12.0,7.0,186.0,46.0,3.0,2.0,1.0,0.0,25.0,0.0,0.0,2.0,7.0,2.0,36.0,6.0,0.0,361.0,280.0,28.0,53.0,81.0,3.0,1.0,1.0,NO
Savonnière,GE_Sav_6,2,2,24.0,32.0,8.0,201.0,74.0,2.0,1.0,4.0,1.0,40.0,9.0,1.0,5.0,3.0,3.0,132.0,9.0,1.0,550.0,341.0,56.0,153.0,209.0,3.0,1.0,1.0,NO
Savonnière,GE_Sav_7,2,2,15.0,6.0,18.0,53.0,14.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,7.0,0.0,10.0,6.0,4.0,0.0,140.0,106.0,7.0,27.0,34.0,3.0,1.0,1.0,NO
Savonnière,GE_Sav_8,2,2,11.0,9.0,7.0,102.0,49.0,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,9.0,3.0,0.0,201.0,180.0,8.0,13.0,21.0,3.0,1.0,1.0,NO
Savonnière,GE_Sav_9,2,2,12.0,17.0,4.0,273.0,67.0,2.0,3.0,0.0,0.0,11.0,2.0,3.0,0.0,1.0,4.0,32.0,3.0,0.0,434.0,375.0,19.0,40.0,59.0,3.0,1.0,1.0,NO
Versoix,GE_Ver_1,1,3,2.0,10.0,0.0,37.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,59.0,3.0,0.0,3.0,3.0,1.0,2.0,ESE
Versoix,GE_Ver_2,1,3,7.0,26.0,0.0,64.0,36.0,1.0,2.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,146.0,134.0,10.0,2.0,12.0,3.0,1.0,2.0,ESE
Versoix,GE_Ver_3,1,3,4.0,21.0,1.0,39.0,21.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,89.0,1.0,0.0,1.0,3.0,1.0,2.0,ESE
Versoix,GE_Ver_4,2,3,8.0,13.0,0.0,40.0,19.0,4.0,3.0,2.0,1.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,84.0,17.0,0.0,17.0,3.0,1.0,2.0,ESE
Aubonne,VD_Aub_1,1,4,4.0,9.0,0.0,12.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,39.0,5.0,0.0,5.0,2.0,1.0,4.0,ONO
Aubonne,VD_Aub_2,1,4,6.0,16.0,0.0,18.0,10.0,1.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,51.0,8.0,0.0,8.0,2.0,1.0,4.0,O
Aubonne,VD_Aub_3,1,4,5.0,24.0,0.0,32.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,89.0,86.0,2.0,1.0,3.0,2.0,1.0,4.0,OSO
Aubonne,VD_Aub_4,1,4,2.0,8.0,0.0,15.0,5.0,0.0,1.0,2.0,0.0,28.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,30.0,37.0,0.0,37.0,2.0,1.0,4.0,OSO
Aubonne,VD_Aub_5,1,4,0.0,11.0,0.0,28.0,2.0,1.0,0.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,55.0,42.0,11.0,2.0,13.0,2.0,1.0,4.0,SO
Aubonne,VD_Aub_6,2,4,5.0,14.0,0.0,38.0,17.0,2.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,87.0,76.0,10.0,1.0,11.0,2.0,1.0,4.0,ONO
Aubonne,VD_Aub_7,2,4,10.0,15.0,0.0,94.0,13.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,62.0,0.0,0.0,200.0,132.0,5.0,63.0,68.0,2.0,1.0,4.0,OSO
Aubonne,VD_Aub_9,2,4,15.0,13.0,3.0,55.0,19.0,0.0,7.0,4.0,1.0,4.0,0.0,1.0,4.0,1.0,0.0,28.0,1.0,0.0,156.0,105.0,17.0,34.0,51.0,2.0,1.0,4.0,OSO
Clarens,VD_Cls_1,1,4,6.0,10.0,1.0,17.0,10.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,52.0,44.0,7.0,1.0,8.0,3.0,2.0,1.0,SSO
Clarens,VD_Cls_2,1,4,5.0,13.0,0.0,42.0,24.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,89.0,84.0,3.0,2.0,5.0,3.0,2.0,1.0,SSO
Clarens,VD_Cls_3,1,4,1.0,16.0,0.0,18.0,6.0,1.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,42.0,7.0,0.0,7.0,3.0,2.0,1.0,SSO
Clarens,VD_Cls_4,1,4,2.0,4.0,1.0,6.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,25.0,2.0,0.0,2.0,3.0,2.0,1.0,SSO
Clarens,VD_Cls_5,2,2,3.0,4.0,1.0,12.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,36.0,31.0,2.0,3.0,5.0,3.0,2.0,1.0,SSO
Clarens,VD_Cls_6,2,2,8.0,10.0,1.0,60.0,38.0,2.0,8.0,6.0,2.0,0.0,1.0,0.0,1.0,3.0,0.0,19.0,2.0,1.0,162.0,119.0,17.0,26.0,43.0,3.0,2.0,1.0,SSO
Crans,VD_Cra_1,1,2,3.0,4.0,0.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,17.0,2.0,0.0,2.0,1.0,1.0,3.0,SSE
Cully,VD_Cul_1,1,3,9.0,28.0,1.0,48.0,29.0,2.0,2.0,1.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,117.0,11.0,0.0,11.0,1.0,1.0,1.0,SO
Cully,VD_Cul_2,2,3,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,SO
Gland,VD_Gld_1,1,2,4.0,2.0,0.0,6.0,13.0,1.0,1.0,1.0,2.0,0.0,4.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,40.0,26.0,8.0,6.0,14.0,2.0,1.0,1.0,E
Grangettes,VD_Grs_1,1,1,6.0,12.0,0.0,114.0,49.0,0.0,1.0,0.0,1.0,3.0,9.0,0.0,0.0,0.0,2.0,490.0,10.0,0.0,697.0,181.0,14.0,502.0,516.0,2.0,1.0,2.0,NO
