Plage,echantillon,position,substrat,fbr,fbb,fbj,fbt,fbn,fba,frr,frb,frj,frt,frn,fra,fsr,fsb,fsj,fst,fsn,fsa,added,fibres,fdure,souple,fragments,frequentation,situation,distance,orientation
Préverenges,VD_Pré_15,2,1,12.0,26.0,2.0,202.0,42.0,1.0,5.0,1.0,5.0,3.0,0.0,1.0,5.0,4.0,0.0,39.0,1.0,0.0,349.0,285.0,15.0,49.0,64.0,3.0,1.0,2.0,SO
Préverenges,VD_Pré_16,2,1,4.0,29.0,0.0,43.0,17.0,1.0,0.0,2.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,114.0,94.0,14.0,6.0,20.0,3.0,1.0,2.0,SO
Préverenges,VD_Pré_17,2,1,9.0,22.0,4.0,60.0,34.0,1.0,1.0,3.0,1.0,12.0,3.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,157.0,130.0,21.0,6.0,27.0,3.0,1.0,2.0,SO
Préverenges,VD_Pré_19,2,1,17.0,16.0,0.0,62.0,23.0,2.0,4.0,1.0,1.0,11.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,142.0,120.0,18.0,4.0,22.0,3.0,1.0,2.0,SO
Préverenges,VD_Pré_2,1,1,12.0,20.0,3.0,160.0,43.0,2.0,9.0,14.0,7.0,4.0,2.0,4.0,8.0,14.0,3.0,552.0,18.0,9.0,884.0,240.0,40.0,604.0,644.0,3.0,1.0,2.0,SO
Préverenges,VD_Pré_20,2,1,9.0,22.0,2.0,65.0,22.0,1.0,3.0,3.0,2.0,16.0,3.0,2.0,0.0,0.0,0.0,6.0,1.0,0.0,157.0,121.0,29.0,7.0,36.0,3.0,1.0,2.0,SO
Préverenges,VD_Pré_21,2,1,9.0,36.0,4.0,118.0,39.0,0.0,21.0,39.0,3.0,14.0,4.0,4.0,0.0,1.0,1.0,9.0,0.0,0.0,302.0,206.0,85.0,11.0,96.0,3.0,1.0,2.0,SO
Préverenges,VD_Pré_22,2,1,6.0,14.0,1.0,53.0,17.0,2.0,11.0,7.0,3.0,5.0,4.0,0.0,0.0,2.0,2.0,3.0,4.0,1.0,135.0,93.0,30.0,12.0,42.0,3.0,1.0,2.0,SO
Préverenges,VD_Pré_23,2,1,4.0,6.0,0.0,46.0,10.0,1.0,2.0,1.0,0.0,3.0,1.0,0.0,1.0,2.0,0.0,4.0,0.0,1.0,82.0,67.0,7.0,8.0,15.0,3.0,1.0,2.0,SO
Préverenges,VD_Pré_24,2,1,5.0,5.0,0.0,65.0,16.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,100.0,91.0,2.0,7.0,9.0,3.0,1.0,2.0,SO
Préverenges,VD_Pré_3,1,1,11.0,33.0,2.0,166.0,37.0,2.0,4.0,12.0,1.0,29.0,62.0,4.0,0.0,2.0,0.0,116.0,0.0,0.0,481.0,251.0,112.0,118.0,230.0,3.0,1.0,2.0,SO
Préverenges,VD_Pré_4,1,1,6.0,4.0,1.0,12.0,13.0,0.0,1.0,1.0,0.0,0.0,39.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,78.0,36.0,41.0,1.0,42.0,3.0,1.0,2.0,SO
Préverenges,VD_Pré_5,1,1,4.0,7.0,0.0,42.0,14.0,0.0,2.0,1.0,2.0,1.0,51.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,128.0,67.0,58.0,3.0,61.0,3.0,1.0,2.0,SO
Préverenges,VD_Pré_6,1,1,1.0,12.0,0.0,43.0,12.0,1.0,0.0,3.0,1.0,1.0,9.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,86.0,69.0,15.0,2.0,17.0,3.0,1.0,2.0,SO
Préverenges,VD_Pré_7,1,1,8.0,28.0,0.0,43.0,31.0,0.0,2.0,2.0,2.0,12.0,12.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,148.0,110.0,32.0,6.0,38.0,3.0,1.0,2.0,SO
Préverenges,VD_Pré_8,1,1,11.0,26.0,2.0,73.0,20.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,151.0,132.0,9.0,10.0,19.0,3.0,1.0,2.0,SO
Préverenges,VD_Pré_9,1,1,5.0,31.0,0.0,60.0,19.0,3.0,2.0,1.0,0.0,4.0,34.0,2.0,0.0,2.0,0.0,11.0,0.0,0.0,174.0,118.0,43.0,13.0,56.0,3.0,1.0,2.0,SO
Rolle,VD_Rol_1,1,1,15.0,9.0,0.0,19.0,24.0,0.0,4.0,2.0,1.0,2.0,15.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,99.0,67.0,30.0,2.0,32.0,3.0,2.0,1.0,SSO
Rolle,VD_Rol_10,1,1,1.0,18.0,0.0,39.0,13.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,85.0,72.0,10.0,3.0,13.0,3.0,2.0,1.0,S
Rolle,VD_Rol_11,2,1,17.0,35.0,0.0,73.0,29.0,1.0,10.0,7.0,5.0,5.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,192.0,155.0,36.0,1.0,37.0,3.0,2.0,1.0,SSO
Rolle,VD_Rol_12,2,1,7.0,11.0,4.0,45.0,31.0,1.0,4.0,3.0,5.0,3.0,4.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,124.0,99.0,20.0,5.0,25.0,3.0,2.0,1.0,SSO
Rolle,VD_Rol_13,2,1,15.0,46.0,0.0,57.0,38.0,0.0,75.0,74.0,22.0,7.0,11.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,355.0,156.0,198.0,1.0,199.0,3.0,2.0,1.0,SSO
Rolle,VD_Rol_14,2,1,4.0,19.0,1.0,20.0,28.0,0.0,16.0,9.0,12.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,116.0,72.0,43.0,1.0,44.0,3.0,2.0,1.0,S
Rolle,VD_Rol_15,2,1,8.0,32.0,1.0,72.0,18.0,0.0,19.0,10.0,5.0,5.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,175.0,131.0,42.0,2.0,44.0,3.0,2.0,1.0,S
Rolle,VD_Rol_16,2,1,12.0,36.0,1.0,74.0,31.0,1.0,2.0,3.0,1.0,4.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,171.0,155.0,12.0,4.0,16.0,3.0,2.0,1.0,S
Rolle,VD_Rol_17,2,1,4.0,30.0,2.0,40.0,8.0,0.0,2.0,2.0,4.0,5.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,105.0,84.0,16.0,5.0,21.0,3.0,2.0,1.0,SSE
Rolle,VD_Rol_18,2,1,4.0,12.0,0.0,23.0,18.0,1.0,2.0,1.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,58.0,12.0,0.0,12.0,3.0,2.0,1.0,S
