échantillon,slug,date,code,pcs_m,fréquentation,situation,distance,substrat
"('amphion', '03.05.2022')",amphion,2022-05-03,G100,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G101,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G102,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G103,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G106,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G112,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G113,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G114,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G117,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G12,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G125,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G126,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G127,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G128,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G129,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G131,0.01098901098901099,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G132,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G133,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G135,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G136,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G137,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G139,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G144,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G145,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G148,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G155,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G159,0.01098901098901099,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G165,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G18,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G194,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G2,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G211,0.02197802197802198,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G25,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G26,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G27,0.12087912087912088,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G28,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G29,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G30,0.42857142857142855,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G31,0.08791208791208792,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G32,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G33,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G34,0.0,3,1,1,4
